App,Category,Installs_category,Rating,Mean_App_Sentiment,Reviews,Size_in_MB,Type,Price,Content_Rating,Genres,Last_Updated,Android_Ver
Apps for SportsBєtting.ag - Bitcoin Welcome here!,SPORTS,Low,,,0,10.0,Free,0.0,Everyone,Sports,2017-12-11,4.0 and up
Aproveita DF,LIFESTYLE,Very low,,,0,3.3,Free,0.0,Everyone,Lifestyle,2018-08-02,4.0 and up
Aquarium Co-Op Podcast,LIFESTYLE,Low,,,206,3.9,Free,0.0,Everyone,Lifestyle,2017-06-20,4.2 and up
Aqw&3d Design Notes Manager,FAMILY,Low,,,11,2.9,Free,0.0,Everyone,Entertainment,2017-08-15,4.0.3 and up
Arab Halls - For Wedding & Events,EVENTS,Low,,,28,6.3,Free,0.0,Everyone,Events,2018-05-20,4.1 and up
Arabic Alif Ba Ta For Kids,FAMILY,More than moderate,,,226,26.0,Free,0.0,Everyone,Education;Education,2017-05-30,2.3 and up
Arabic Alphabet Alif Ba Ta Wooden Blocks,FAMILY,Moderate,,,66,17.0,Free,0.0,Everyone,Educational;Education,2018-02-25,2.3 and up
Arabic Alphabets,PARENTING,Moderate,,,34,6.2,Free,0.0,Everyone,Parenting,2017-01-09,2.2 and up
Arabic Chat - Chat,PARENTING,Moderate,,,162,1.5,Free,0.0,Everyone,Parenting,2018-05-01,4.1 and up
Arby's,FOOD_AND_DRINK,More than moderate,,,194,26.0,Free,0.0,Everyone,Food & Drink,2018-07-12,4.4 and up
Archery Physics Objects Destruction Apple shooter,GAME,More than moderate,,,6026,39.0,Free,0.0,Teen,Action,2018-07-07,4.1 and up
Archie Comics,COMICS,More than moderate,,,5084,6.2,Free,0.0,Everyone,Comics,2018-06-19,4.3 and up
Archos File Manager,PRODUCTIVITY,Very High,2.1318585393101523,0.1318585393101522,2131,2.3,Free,0.0,Everyone,Productivity,2016-04-22,4.1 and up
Arcraft - AR Sandbox,GAME,Moderate,,,469,80.0,Free,0.0,Everyone,Adventure,2017-05-19,4.0 and up
Arena of Valor: 5v5 Arena Game,GAME,Very High,,,438911,99.0,Free,0.0,Teen,Action,2018-06-28,4.0.3 and up
Ariana News AF,NEWS_AND_MAGAZINES,Moderate,,,20,3.1,Free,0.0,Everyone,News & Magazines,2017-07-10,4.0 and up
Arizona DMV Permit Test - AZ,FAMILY,Moderate,,,109,30.0,Free,0.0,Everyone,Education,2018-02-15,4.4 and up
Arizona Mobile,FAMILY,Moderate,,,285,6.2,Free,0.0,Everyone,Education,2017-11-07,4.1 and up
"Arizona Statutes, ARS (AZ Law)",BOOKS_AND_REFERENCE,Low,,,9,8.8,Free,0.0,Everyone,Books & Reference,2017-10-18,4.4 and up
Arizona Trail,TRAVEL_AND_LOCAL,Moderate,,,65,13.0,Free,0.0,Everyone,Travel & Local,2017-04-06,4.1 and up
Armani Exchange Connected,LIFESTYLE,Moderate,,,305,44.0,Free,0.0,Everyone,Lifestyle,2017-07-04,4.4 and up
Armed Cam Gun Pack,GAME,Moderate,,,1012,50.0,Free,0.0,Teen,Action,2015-01-18,3.0 and up
Armored Warfare: Assault,GAME,More than moderate,,,7718,46.0,Free,0.0,Everyone,Action,2018-08-02,5.0 and up
Army of Heroes,FAMILY,High,,,85015,46.0,Free,0.0,Everyone 10+,Strategy,2018-08-01,4.0 and up
Arogyam EH,MEDICAL,Low,,,18,3.5,Free,0.0,Everyone,Medical,2018-05-12,4.0.3 and up
Arrayanes EC,LIFESTYLE,Low,,,2,7.9,Free,0.0,Everyone,Lifestyle,2018-06-27,4.4 and up
Arrhythmias and Dysrhythmias,MEDICAL,Low,,,3,24.0,Paid,1.0,Everyone,Medical,2016-01-24,4.2 and up
Arrowhead AH App,MEDICAL,Low,,,3,28.0,Free,0.0,Everyone,Medical,2017-04-21,4.0.3 and up
Art Drawing Ideas,ART_AND_DESIGN,More than moderate,,,227,5.2,Free,0.0,Everyone,Art & Design,2018-05-31,2.3 and up
Art Pixel Coloring. Color by Number.,FAMILY,More than moderate,,,992,49.0,Free,0.0,Teen,Entertainment,2018-08-02,4.2 and up
Art of F J Taylor,VIDEO_PLAYERS,Very low,,,2,1.5,Free,0.0,Everyone,Video Players & Editors,2015-06-23,4.3 and up
Artificial Intelligence,FAMILY,More than moderate,,,339,4.2,Free,0.0,Everyone,Education,2018-04-05,4.0 and up
Artificial intelligence,FAMILY,Low,,,3,1.8,Free,0.0,Everyone,Entertainment,2018-03-05,4.1 and up
Arto: f.infrared photo,PHOTOGRAPHY,Low,,,41,11.0,Paid,1.49,Everyone,Photography,2016-07-19,4.4 and up
Asahi Shimbun Digital,NEWS_AND_MAGAZINES,High,,,735,6.3,Free,0.0,Everyone,News & Magazines,2018-07-25,4.0.3 and up
Asana: organize team projects,BUSINESS,High,2.3237470869778494,0.17374708697784966,20815,10.0,Free,0.0,Everyone,Business,2018-07-26,5.0 and up
Ascape VR: 360° Virtual Travel,TRAVEL_AND_LOCAL,More than moderate,2.1954282407407404,0.14542824074074073,890,7.6,Free,0.0,Everyone,Travel & Local;Action & Adventure,2017-08-09,4.4 and up
Asha Ek Hope - ALS/ MND,MEDICAL,Low,,,2,11.0,Free,0.0,Everyone,Medical,2018-05-23,4.1 and up
Asiimov Skin - CS GO Icon Pack,PERSONALIZATION,Low,,,26,8.5,Paid,2.49,Everyone,Personalization,2017-12-03,4.0.3 and up
Asphalt 8: Airborne,GAME,Top Notch,2.354043901293866,0.10404390129386598,8389714,92.0,Free,0.0,Teen,Racing,2018-07-04,4.0.3 and up
Asphalt Xtreme: Rally Racing,GAME,Very High,,,567984,39.0,Free,0.0,Everyone,Racing,2018-07-16,4.0.3 and up
Assassin's Creed Identity,GAME,High,,,42529,92.0,Paid,1.99,Teen,Action,2016-11-23,4.1 and up
Assault Line CS Online Fps Go,GAME,High,,,52163,70.0,Free,0.0,Mature 17+,Action,2016-07-13,2.3 and up
Associated Credit Union Mobile,FINANCE,More than moderate,2.5783348214285713,0.22833482142857142,3290,12.0,Free,0.0,Everyone,Finance,2018-05-30,5.0 and up
Aster DM Healthcare,MEDICAL,Moderate,,,32,8.5,Free,0.0,Everyone,Medical,2017-11-21,4.0.3 and up
Asteroids 3D live wallpaper,PERSONALIZATION,Very High,2.2225207914132947,0.17252079141329507,157495,6.4,Free,0.0,Everyone,Personalization,2018-07-24,4.4 and up
Asylum Night Shift - Five Nights Survival,GAME,Very High,,,59223,46.0,Free,0.0,Teen,Action,2018-06-26,4.1 and up
Atlanta United FC,SPORTS,Moderate,,,215,76.0,Free,0.0,Everyone,Sports,2018-06-28,4.4 and up
Attack the Light,FAMILY,More than moderate,,,19209,21.0,Paid,2.99,Everyone,Role Playing;Action & Adventure,2016-02-23,4.0 and up
Au Bon Pain,FOOD_AND_DRINK,Moderate,,,70,26.0,Free,0.0,Everyone,Food & Drink,2018-07-23,5.0 and up
Au Mobile: Audition Chính Hiệu,GAME,High,,,85278,23.0,Free,0.0,Mature 17+,Music,2018-07-17,4.0.3 and up
Au Pair,SOCIAL,Moderate,,,58,15.0,Free,0.0,Everyone,Social,2017-08-14,4.2 and up
Au Pair Legend,LIFESTYLE,Low,,,28,8.8,Free,0.0,Everyone,Lifestyle,2018-07-19,5.0 and up
Au Rubis les bijoutiers,LIFESTYLE,Low,,,0,10.0,Free,0.0,Everyone,Lifestyle,2018-07-24,4.1 and up
Au Weather Free,WEATHER,More than moderate,,,1185,5.0,Free,0.0,Everyone,Weather,2018-06-18,2.3 and up
Au-allstar for KR,GAME,More than moderate,,,2433,47.0,Free,0.0,Everyone,Music,2018-06-15,4.3 and up
Auction Wars : Storage King,GAME,High,,,29062,63.0,Free,0.0,Everyone,Casino,2017-09-15,2.3 and up
Audio Murli Glossary For BK,FAMILY,Low,,,39,20.0,Free,0.0,Everyone,Education,2016-01-25,4.0.3 and up
AudioBT: BT audio GPS/SMS/Text,COMMUNICATION,More than moderate,,,198,0.21,Free,0.0,Everyone,Communication,2017-02-21,4.0 and up
Audiowalk EB,TRAVEL_AND_LOCAL,Very low,,,0,90.0,Free,0.0,Everyone,Travel & Local,2018-06-30,4.2 and up
Augment - 3D Augmented Reality,BUSINESS,High,,,25195,21.0,Free,0.0,Everyone,Business,2018-02-26,4.0.3 and up
Aunjai i lert u,HEALTH_AND_FITNESS,High,,,1140,5.5,Free,0.0,Teen,Health & Fitness,2017-01-10,3.0 and up
Aurum Blade EX,FAMILY,High,,,28151,17.0,Free,0.0,Everyone 10+,Role Playing,2015-06-04,2.2 and up
Australia Newspapers - AU News Apps,NEWS_AND_MAGAZINES,Low,,,48,4.1,Free,0.0,Everyone,News & Magazines,2018-07-08,4.0.3 and up
Austria Wien FK - Fussball - Inoffizielle App,SPORTS,Low,,,2,12.0,Free,0.0,Everyone,Sports,2018-07-27,4.1 and up
Authy 2-Factor Authentication,TOOLS,High,,,15070,6.3,Free,0.0,Everyone,Tools,2018-07-30,4.0.3 and up
Auto Background Changer,PHOTOGRAPHY,High,,,35188,6.2,Free,0.0,Everyone,Photography,2018-02-22,3.2 and up
Auto DM for Twitter 🔥,SOCIAL,Low,,,44,6.3,Free,0.0,Teen,Social,2018-05-21,4.1 and up
Auto Dslr Photo Effect : Auto Focus Effect,PHOTOGRAPHY,Low,,,6,3.5,Free,0.0,Everyone,Photography,2018-02-20,4.0.3 and up
AutoCAD - DWG Viewer & Editor,PRODUCTIVITY,Very High,2.2333232448492866,0.13332324484928654,145088,24.0,Free,0.0,Everyone,Productivity,2018-07-23,4.4 and up
AutoScout24 - used car finder,AUTO_AND_VEHICLES,Very High,,,186648,42.0,Free,0.0,Everyone,Auto & Vehicles,2018-08-02,4.2 and up
Automatic Call Recorder,TOOLS,Top Notch,,,1648515,7.1,Free,0.0,Everyone,Tools,2018-08-02,2.3 and up
Autool BT-BOX,TOOLS,Low,,,4,17.0,Free,0.0,Everyone,Tools,2018-05-12,4.3 and up
Autoroute.EU,BUSINESS,Low,,,10,2.7,Free,0.0,Everyone,Business,2016-07-19,4.0.3 and up
Avakin Life - 3D virtual world,FAMILY,Very High,2.3253229913037345,0.12532299130373428,1275373,91.0,Free,0.0,Teen,Role Playing,2018-07-03,4.1 and up
"Avast Cleanup & Boost, Phone Cleaner, Optimizer",TOOLS,Very High,,,648380,24.0,Free,0.0,Everyone,Tools,2018-08-01,4.1 and up
Avast Mobile Security 2018 - Antivirus & App Lock,TOOLS,Top Notch,,,5180480,26.0,Free,0.0,Everyone,Tools,2018-08-01,4.1 and up
Avast Wi-Fi Finder,PRODUCTIVITY,High,,,37277,13.0,Free,0.0,Everyone,Productivity,2018-02-26,4.0.3 and up
Avatar Musik,GAME,High,,,159063,85.0,Free,0.0,Everyone,Music,2018-02-09,4.0 and up
Avaya CX,BUSINESS,Low,,,21,21.0,Free,0.0,Everyone,Business,2018-07-25,5.0 and up
Avenger Legends,FAMILY,More than moderate,,,3715,94.0,Free,0.0,Everyone,Role Playing,2017-07-13,4.0.3 and up
Aviary Effects: Classic,LIBRARIES_AND_DEMO,Very High,2.0394881879775295,0.1394881879775295,67007,0.23,Free,0.0,Everyone,Libraries & Demo,2013-03-06,2.2 and up
Aviary Stickers: Free Pack,LIBRARIES_AND_DEMO,Very High,1.9042513750763752,0.1542513750763751,126862,0.61,Free,0.0,Everyone,Libraries & Demo,2012-01-17,2.2 and up
Avios for Android,TRAVEL_AND_LOCAL,More than moderate,,,862,30.0,Free,0.0,Everyone,Travel & Local,2018-04-10,5.0 and up
Avokiddo Emotions,FAMILY,Low,,,73,12.0,Paid,2.99,Everyone,Education;Pretend Play,2018-05-21,4.0.3 and up
Aw Restaurant,FAMILY,Low,,,4,43.0,Free,0.0,Everyone,Casual,2018-02-06,4.0 and up
Awake Dating,DATING,Low,,,2,70.0,Free,0.0,Mature 17+,Dating,2018-07-24,4.4 and up
Ax 3 Domaines,SPORTS,Low,,,12,23.0,Free,0.0,Everyone,Sports,2018-01-26,4.2 and up
Axe,FAMILY,Low,,,18,24.0,Free,0.0,Everyone,Simulation,2017-12-01,4.1 and up
Axe Champ,GAME,Moderate,,,141,19.0,Free,0.0,Everyone,Arcade,2018-05-26,4.1 and up
Axe Champ Hit,GAME,Low,,,1,15.0,Free,0.0,Everyone,Arcade,2018-05-25,4.1 and up
Axe Champion,GAME,Moderate,,,21,15.0,Free,0.0,Everyone,Arcade,2018-05-28,4.1 and up
Axe Champs! Wars,GAME,Low,,,8,25.0,Free,0.0,Everyone,Arcade,2018-06-26,4.1 and up
Axe Clicker,FAMILY,High,,,10446,64.0,Free,0.0,Everyone,Casual,2018-07-13,4.0.3 and up
Axe Knight,GAME,Moderate,,,52,33.0,Free,0.0,Everyone,Action,2018-06-26,4.1 and up
Axe Man,GAME,Low,,,53,14.0,Free,0.0,Everyone,Adventure,2015-02-23,2.3.3 and up
Axe Throw: Flip Champ Axes Champion Throwing Games,GAME,Low,,,1,13.0,Free,0.0,Everyone,Arcade,2018-05-31,4.0 and up
Axe Wallpaper,PERSONALIZATION,Low,,,9,12.0,Free,0.0,Teen,Personalization,2017-02-03,4.0 and up
Axetatic - Axe Throwing Game,GAME,Low,,,29,31.0,Free,0.0,Everyone 10+,Arcade,2017-10-22,4.2 and up
Axxess AX-DSP,TOOLS,Moderate,,,17,7.4,Free,0.0,Everyone,Tools,2018-06-04,4.4 and up
Axxess Updater,TOOLS,Moderate,,,56,2.3,Free,0.0,Everyone,Tools,2016-12-19,3.1 and up
Ay,VIDEO_PLAYERS,Moderate,,,11,3.6,Free,0.0,Teen,Video Players & Editors,2018-05-04,2.3 and up
Ay Hasnain k Nana Milad Naat,BOOKS_AND_REFERENCE,Moderate,,,72,1.9,Free,0.0,Everyone,Books & Reference,2015-12-21,2.3 and up
Ay Mohabbat Teri Khatir Novel,BOOKS_AND_REFERENCE,Moderate,,,27,4.3,Free,0.0,Everyone,Books & Reference,2018-01-30,4.0 and up
Ay Peruk,BUSINESS,Very low,,,0,3.4,Free,0.0,Everyone,Business,2017-10-31,4.0 and up
Ay Sabz Gunbad Waly,VIDEO_PLAYERS,Low,,,4,3.9,Free,0.0,Everyone,Video Players & Editors,2017-09-11,4.0 and up
Ay Telekom Oim,LIFESTYLE,Low,,,6,13.0,Free,0.0,Everyone,Lifestyle,2018-02-17,4.1 and up
Ay Up,FAMILY,Low,,,11,7.2,Free,0.0,Everyone,Entertainment,2015-10-27,2.1 and up
Ay Vamos - PJ. Balvin - Piano,GAME,Very low,,,0,29.0,Free,0.0,Everyone,Arcade,2018-07-09,4.1 and up
Ay Yıldız - Xperia Live Theme,PERSONALIZATION,Very low,,,0,2.9,Paid,0.99,Everyone,Personalization,2017-12-26,4.4 and up
Ay Yıldız Analog Saat,PERSONALIZATION,Low,,,37,1.7,Free,0.0,Everyone,Personalization,2016-07-21,4.1 and up
Ay Yıldız Duvar Kağıtları,PERSONALIZATION,Low,,,3,6.5,Free,0.0,Everyone,Personalization,2017-12-10,4.3 and up
Ay Yıldız Keyboard,TOOLS,Low,,,26,3.0,Free,0.0,Everyone,Tools,2018-05-23,4.4 and up
Ayat - Al Quran,FAMILY,Very High,,,173394,8.5,Free,0.0,Everyone,Education,2018-03-13,4.0 and up
Ayyush wih wih new without Net,LIBRARIES_AND_DEMO,High,,,912,13.0,Free,0.0,Everyone,Libraries & Demo,2018-01-09,2.3 and up
Az Content,FAMILY,Moderate,,,24,13.0,Free,0.0,Everyone,Entertainment,2018-06-05,4.1 and up
Az Video Status,FAMILY,Low,,,13,6.0,Free,0.0,Everyone,Entertainment,2018-08-02,4.1 and up
AzadBazar.af,SHOPPING,Low,,,3,3.7,Free,0.0,Everyone,Shopping,2018-03-09,4.0 and up
Azpen eReader,BOOKS_AND_REFERENCE,High,1.9422524154589371,0.1922524154589372,156,42.0,Free,0.0,Everyone,Books & Reference,2018-02-15,2.2 and up
Azulones Getafe CF Fans,SPORTS,Low,,,4,7.8,Free,0.0,Teen,Sports,2017-03-25,2.3.3 and up
AÖF Ev İdaresi 1. Sınıf,FAMILY,Low,,,2,11.0,Free,0.0,Everyone,Education,2018-07-15,4.1 and up
B,FINANCE,More than moderate,,,800,32.0,Free,0.0,Everyone,Finance,2018-06-21,4.4 and up
B & W Filter for Photo Editor Pro,PERSONALIZATION,Moderate,,,65,7.6,Free,0.0,Everyone,Personalization,2018-05-02,4.1 and up
B L Enterprises,FINANCE,Very low,,,2,6.9,Free,0.0,Everyone,Finance,2018-05-11,4.0.3 and up
B R COACHINGS,FAMILY,Very low,,,1,9.2,Free,0.0,Everyone,Education,2018-07-12,4.4 and up
B R Telco FCU Mobile Banking,FINANCE,Moderate,,,413,13.0,Free,0.0,Everyone,Finance,2018-05-30,5.0 and up
B Tiff Viewer,PHOTOGRAPHY,More than moderate,,,283,7.4,Free,0.0,Everyone,Photography,2018-05-12,4.0 and up
B y H Niños ES,BOOKS_AND_REFERENCE,Moderate,,,53,16.0,Free,0.0,Everyone,Books & Reference,2015-09-22,2.3 and up
B&H Kids AR,BOOKS_AND_REFERENCE,Moderate,,,286,18.0,Free,0.0,Everyone,Books & Reference,2017-09-29,4.0 and up
B&H Photo Video Pro Audio,SHOPPING,High,,,17180,31.0,Free,0.0,Everyone,Shopping,2018-08-03,4.4 and up
B&M Stores,SHOPPING,More than moderate,,,192,36.0,Free,0.0,Everyone,Shopping,2018-08-03,4.1 and up
B&W Photo Filter Editor,PHOTOGRAPHY,More than moderate,,,205,2.4,Free,0.0,Everyone,Photography,2017-07-29,4.0 and up
B'H BURGER HEIM,LIFESTYLE,Very low,,,0,20.0,Free,0.0,Everyone,Lifestyle,2016-05-26,4.0 and up
B-17 Flying Fortress WWII LWP,PERSONALIZATION,Low,,,7,14.0,Paid,1.49,Everyone,Personalization,2016-12-22,4.1 and up
B-52 Spirits of Glory Deluxe,GAME,Low,,,12,29.0,Paid,0.99,Everyone,Arcade,2017-09-02,2.3 and up
B-BLE(BLE4.0 Scan),TOOLS,Moderate,,,159,7.5,Free,0.0,Everyone,Tools,2018-04-20,5.0 and up
B-Grade Renegade,GAME,Low,,,24,64.0,Paid,1.99,Teen,Action,2017-10-17,3.2 and up
B-L Animal Hospital,MEDICAL,Low,,,1,28.0,Free,0.0,Everyone,Medical,2017-06-08,4.0.3 and up
B-Messenger Video Chat,SOCIAL,High,,,12495,19.0,Free,0.0,Mature 17+,Social,2017-08-19,2.3 and up
B. R. Ambedkar Jayanti SMS,PERSONALIZATION,Low,,,0,3.0,Free,0.0,Everyone,Personalization,2018-03-19,4.0.3 and up
B.GOOD,FOOD_AND_DRINK,Moderate,,,155,20.0,Free,0.0,Everyone,Food & Drink,2018-04-04,4.1 and up
B.M.Snowboard Free,SPORTS,High,,,9765,14.0,Free,0.0,Everyone,Sports,2017-05-01,2.3 and up
B.T.,NEWS_AND_MAGAZINES,More than moderate,,,636,1.4,Free,0.0,Everyone,News & Magazines,2018-06-08,4.1 and up
B.Z. Live-Ticker,NEWS_AND_MAGAZINES,Moderate,,,114,7.7,Free,0.0,Everyone,News & Magazines,2018-05-25,4.2 and up
B@dL!bs Lite,GAME,Low,,,10,36.0,Free,0.0,Mature 17+,Word,2016-04-05,4.0.3 and up
BA 3 Banjarmasin,SOCIAL,Very low,,,2,5.9,Free,0.0,Teen,Social,2018-07-28,4.4 and up
BA Accesible,HEALTH_AND_FITNESS,Low,,,31,4.7,Free,0.0,Everyone,Health & Fitness,2016-07-19,4.1 and up
BA Calculator,PRODUCTIVITY,Moderate,,,22,2.4,Free,0.0,Everyone,Productivity,2018-07-22,4.0.3 and up
BA Pro Financial Calculator,FINANCE,Low,,,36,9.4,Paid,1.99,Everyone,Finance,2015-11-16,2.3 and up
BA SALES,COMMUNICATION,Very low,,,0,2.9,Free,0.0,Everyone,Communication,2018-01-31,4.0.3 and up
BA Status,TRAVEL_AND_LOCAL,Low,,,0,5.1,Free,0.0,Everyone,Travel & Local,2016-08-13,4.0.3 and up
BA VPN - Free Unlimited VPN,FAMILY,Moderate,,,181,9.2,Free,0.0,Everyone,Entertainment,2018-06-14,5.0 and up
BA4You,BUSINESS,Moderate,,,87,26.0,Free,0.0,Everyone,Business,2018-04-26,4.0 and up
BAMMS for BM 1Park,PRODUCTIVITY,Low,,,7,10.0,Free,0.0,Everyone,Productivity,2018-07-19,4.1 and up
BAMMS for BM SQ,PRODUCTIVITY,Very low,,,2,10.0,Free,0.0,Everyone,Productivity,2018-07-24,4.1 and up
BANGLA TV 3G/4G,SPORTS,More than moderate,,,142,5.3,Free,0.0,Everyone,Sports,2018-06-07,4.0 and up
BAR-B-Q Recipes,FOOD_AND_DRINK,Low,,,0,3.6,Free,0.0,Everyone,Food & Drink,2018-01-30,4.0 and up
BBC Persian | BBC Farsi News,NEWS_AND_MAGAZINES,More than moderate,,,978,2.9,Free,0.0,Everyone,News & Magazines,2018-05-12,4.0.3 and up
BBVA Compass Banking,FINANCE,High,2.308165729470994,0.15816572947099428,5905,50.0,Free,0.0,Everyone,Finance,2018-07-27,4.4 and up
BBW Dating & Curvy Singles Chat- LargeFriends,DATING,Moderate,2.346314083694084,0.14631408369408372,218,27.0,Free,0.0,Mature 17+,Dating,2018-07-23,4.1 and up
BBW Dating & Plus Size Chat,DATING,High,2.3375773565773565,0.1375773565773566,12633,29.0,Free,0.0,Mature 17+,Dating,2018-07-27,4.1 and up
BBWCupid - BBW Dating App,DATING,More than moderate,1.8824120887529978,0.13241208875299784,241,2.8,Free,0.0,Mature 17+,Dating,2018-06-01,5.0 and up
BC Camera,PHOTOGRAPHY,Low,,,5,5.5,Free,0.0,Everyone,Photography,2018-01-10,4.0.3 and up
BC Connect,FAMILY,Low,,,11,17.0,Free,0.0,Everyone,Education,2018-03-14,4.1 and up
BC Highways - Road Conditions,TRAVEL_AND_LOCAL,Moderate,,,382,12.0,Free,0.0,Everyone,Travel & Local,2018-02-01,5.0 and up
BC Hockey,SPORTS,Low,,,20,8.9,Free,0.0,Everyone,Sports,2017-12-08,4.4 and up
BC Hospital Wait Times,MEDICAL,Low,,,8,1.2,Free,0.0,Everyone,Medical,2016-01-19,4.1 and up
BC Liquor Stores,LIFESTYLE,More than moderate,,,492,4.3,Free,0.0,Everyone,Lifestyle,2015-10-05,2.2 and up
BC Lotto Check,FAMILY,Moderate,,,10,0.7,Free,0.0,Everyone,Entertainment,2016-06-22,4.0.3 and up
BC MVA Fines,BOOKS_AND_REFERENCE,Low,,,5,7.2,Paid,1.75,Everyone,Books & Reference,2015-10-08,4.1 and up
BC Mobile Intro - Americas,LIFESTYLE,Low,,,0,3.1,Free,0.0,Everyone,Lifestyle,2018-06-21,4.0.3 and up
BC Navigator,FAMILY,Low,,,21,32.0,Free,0.0,Everyone,Education,2018-05-10,4.0.3 and up
BC Pizza,LIFESTYLE,Low,,,3,2.6,Free,0.0,Everyone,Lifestyle,2016-01-12,4.2 and up
BC Slots - The Lost Reels FREE,GAME,Moderate,,,209,22.0,Free,0.0,Teen,Casino,2018-07-13,4.0 and up
BC Wildfire,TOOLS,Moderate,,,27,5.0,Free,0.0,Everyone,Tools,2018-05-31,5.0 and up
BC Wildflowers,FAMILY,Low,,,7,81.0,Free,0.0,Everyone,Education,2017-07-10,4.1 and up
BC browser,BUSINESS,Low,,,1,3.4,Free,0.0,Everyone,Business,2018-01-17,4.0 and up
BC iptv player,VIDEO_PLAYERS,Low,,,8,14.0,Free,0.0,Everyone,Video Players & Editors,2017-10-12,4.0 and up
BC's Pizza,LIFESTYLE,Low,,,113,20.0,Free,0.0,Everyone,Lifestyle,2016-09-30,4.0 and up
BD All Results,FAMILY,More than moderate,,,205,7.3,Free,0.0,Everyone,Education,2017-11-29,4.0.3 and up
BD All Sim Offer,BOOKS_AND_REFERENCE,Moderate,,,197,2.8,Free,0.0,Everyone,Books & Reference,2017-01-03,4.1 and up
BD Attendance,PRODUCTIVITY,Low,,,93,14.0,Free,0.0,Everyone,Productivity,2018-07-17,4.3 and up
BD Bank Interest,FINANCE,Moderate,,,289,3.2,Free,0.0,Everyone,Finance,2018-05-04,4.1 and up
BD Briight: Your Diabetes Personal Assistant,MEDICAL,Moderate,,,17,37.0,Free,0.0,Everyone,Medical,2018-07-19,5.0 and up
BD CRICKET LIVE,SPORTS,More than moderate,,,1238,9.5,Free,0.0,Everyone,Sports,2018-01-15,4.0.3 and up
BD Data Plan (3G & 4G),COMMUNICATION,High,,,10341,6.9,Free,0.0,Everyone,Communication,2018-07-05,4.1 and up
BD Dialer,COMMUNICATION,Moderate,,,29,13.0,Free,0.0,Everyone,Communication,2018-07-09,4.1 and up
BD Earn Pro,FAMILY,Moderate,,,540,3.2,Free,0.0,Everyone,Entertainment,2018-08-01,4.1 and up
BD Field Force,PRODUCTIVITY,Low,,,41,15.0,Free,0.0,Everyone,Productivity,2018-08-01,4.3 and up
BD Fishpedia,BOOKS_AND_REFERENCE,Low,,,123,6.5,Free,0.0,Everyone,Books & Reference,2017-03-15,3.0 and up
BD Hospital's,FAMILY,Low,,,12,2.3,Free,0.0,Everyone,Education,2015-10-07,3.0 and up
BD Internet Package Activator,NEWS_AND_MAGAZINES,Low,,,13,2.3,Free,0.0,Everyone,News & Magazines,2018-03-09,4.0.3 and up
BD Internet Packages (Updated),COMMUNICATION,More than moderate,,,474,3.0,Free,0.0,Everyone,Communication,2016-08-05,4.0 and up
BD Live Call,COMMUNICATION,Moderate,,,7,0.3,Free,0.0,Everyone,Communication,2016-09-06,2.0 and up
BD Online News,NEWS_AND_MAGAZINES,Low,,,30,3.8,Free,0.0,Everyone,News & Magazines,2018-03-20,4.0.3 and up
BD Online Passport Application,FAMILY,Moderate,,,12,2.4,Free,0.0,Everyone,Education,2017-10-07,4.0.3 and up
BD Online Shop,BUSINESS,Moderate,,,63,13.0,Free,0.0,Everyone,Business,2015-09-13,2.3.3 and up
BD Provider App,HEALTH_AND_FITNESS,Moderate,,,45,13.0,Free,0.0,Everyone,Health & Fitness,2016-09-12,4.1 and up
BD Radio TV Free List,FAMILY,More than moderate,,,539,13.0,Free,0.0,Everyone,Entertainment,2018-08-01,4.2 and up
BD Simplist Through Their Eyes,FAMILY,Very low,,,1,38.0,Free,0.0,Everyone,Simulation,2015-12-04,4.1 and up
BD Sports Box & TV,FAMILY,Low,,,5,3.3,Free,0.0,Everyone,Entertainment,2018-04-13,4.0.3 and up
BD TYCOON,FAMILY,Low,,,16,33.0,Free,0.0,Everyone,Simulation,2017-07-06,4.1 and up
BD tools,TOOLS,Moderate,,,21,0.21,Free,0.0,Everyone,Tools,2015-12-18,4.2 and up
"BDCast - Bangla Live TV,Radio",FAMILY,High,,,7461,31.0,Free,0.0,Everyone,Entertainment,2018-05-20,4.1 and up
BEBONCOOL GAMEPAD V1.0,GAME,More than moderate,,,404,2.2,Free,0.0,Everyone,Arcade,2017-08-30,4.0 and up
BELONG Beating Cancer Together,MEDICAL,More than moderate,2.5380075543973573,0.18800755439735703,623,20.0,Free,0.0,Teen,Medical,2018-07-29,4.3 and up
BEST CAR SOUNDS,AUTO_AND_VEHICLES,More than moderate,2.347967512967513,0.19796751296751297,348,38.0,Free,0.0,Everyone,Auto & Vehicles,2018-07-29,2.3 and up
BET NOW - Watch Shows,ENTERTAINMENT,High,2.196952234397547,0.0969522343975469,14807,19.0,Free,0.0,Teen,Entertainment,2018-07-08,4.4 and up
BF 3d Images,FAMILY,Low,,,19,2.5,Free,0.0,Teen,Entertainment,2015-06-17,3.0 and up
BF 3d View Wallpapers,FAMILY,Low,,,4,2.5,Free,0.0,Teen,Entertainment,2015-06-18,3.0 and up
BF 3d Wallpapers,FAMILY,More than moderate,,,256,2.5,Free,0.0,Teen,Entertainment,2015-06-18,3.0 and up
BF 4 Guns,FAMILY,More than moderate,,,1542,13.0,Free,0.0,Everyone,Entertainment,2015-06-09,3.0 and up
